City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
77,Lavrentiya,0,RU,1611965846,82,65.5833,-171.0,-15.92,10.54
78,New Norfolk,37,AU,1611966005,62,-42.7826,147.0587,75.99,4.0
79,Saskylakh,29,RU,1611966006,78,71.9167,114.0833,-39.1,0.92
80,Busselton,0,AU,1611966006,66,-33.65,115.3333,70.0,5.99
81,Ossora,75,RU,1611966006,93,59.2353,163.0719,3.36,11.88
82,Vaini,90,TO,1611966006,94,-21.2,-175.2,75.2,14.97
83,Bull Savanna,24,JM,1611966006,81,17.8868,-77.5902,73.02,5.59
84,Udachny,83,RU,1611966007,80,66.4167,112.4,-37.52,4.23
85,Xining,100,CN,1611966007,73,36.6167,101.7667,13.78,2.51
86,Asadābād,97,IR,1611966007,81,34.7824,48.1185,37.04,8.84
87,Bakel,82,SN,1611966007,14,14.905,-12.4568,76.6,10.09
88,Urucará,60,BR,1611966007,97,-2.5364,-57.76,75.07,2.68
89,Hofn,49,IS,1611965863,87,64.2539,-15.2082,30.74,5.5
90,Mercedes,4,AR,1611965839,82,-34.6515,-59.4307,73.99,3.11
91,Takoradze,80,GH,1611966008,84,4.8845,-1.7554,78.44,5.23
92,Morinville,1,CA,1611966008,85,53.8001,-113.652,3.99,3.44
93,Tomatlán,64,MX,1611966008,28,19.9333,-105.25,88.99,15.03
94,Marang,40,MY,1611966008,73,5.2056,103.2059,78.8,5.75
95,Tvøroyri,90,FO,1611966008,74,61.5556,-6.8111,32.0,3.44
96,Rabo de Peixe,20,PT,1611966009,94,37.8,-25.5833,59.0,9.22
97,Bambous Virieux,40,MU,1611966009,78,-20.3428,57.7575,80.6,8.05
